poll_utc,categorie,libelle,zone_axe,type,sens,temps_live_min,temps_libre_min,retard_min,distance_km
2026-08-31T04:00:50Z,point,Douai,Douaisis,autoroute A1,vers_lille,31.8,31.1,0.7,42.2
2026-08-31T04:00:50Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,31.8,31.1,0.7,41.4
2026-08-31T04:00:50Z,point,Arras,Artois,autoroute A1,vers_lille,41.0,39.7,1.2,55.1
2026-08-31T04:00:50Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,44.1,42.6,1.5,42.2
2026-08-31T04:00:50Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,52.6,52.0,0.5,80.5
2026-08-31T04:00:50Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,34.4,34.3,0.1,46.8
2026-08-31T04:00:50Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,26.8,26.3,0.4,28.1
2026-08-31T04:00:50Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,34.7,34.5,0.2,51.3
2026-08-31T04:00:50Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,19.9,19.6,0.2,13.9
2026-08-31T04:00:50Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,20.6,20.2,0.4,25.7
2026-08-31T04:00:50Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,57.3,56.0,1.3,87.1
2026-08-31T04:00:50Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,53.5,51.2,2.3,75.1
2026-08-31T04:00:50Z,point,Wavrin,Weppes,départementale,vers_lille,20.1,20.0,0.1,19.3
2026-08-31T04:00:50Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,25.0,25.0,0.1,22.6
2026-08-31T04:00:50Z,point,Herlies,Weppes,départementale,vers_lille,22.0,22.1,-0.1,23.2
2026-08-31T04:00:50Z,point,Fromelles,Weppes,départementale,vers_lille,24.2,23.8,0.4,22.1
2026-08-31T04:00:50Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,21.3,20.9,0.3,17.8
2026-08-31T04:00:50Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,23.4,22.9,0.5,23.0
2026-08-31T04:00:50Z,point,Cysoing,Pévèle,départementale,vers_lille,22.4,22.2,0.2,16.1
2026-08-31T04:00:50Z,point,Bourghelles,Pévèle,départementale,vers_lille,24.0,24.0,0.0,23.3
2026-08-31T04:00:50Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,20.5,20.4,0.1,14.7
2026-08-31T04:00:50Z,point,Bouvines,Mélantois,départementale,vers_lille,18.9,18.7,0.1,13.9
2026-08-31T04:00:50Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,21.6,21.5,0.1,20.9
2026-08-31T04:00:50Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,20.8,20.6,0.2,18.3
2026-08-31T04:00:50Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,17.1,16.5,0.6,18.2
2026-08-31T04:00:50Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,26.5,26.4,0.1,28.7
2026-08-31T04:30:50Z,point,Douai,Douaisis,autoroute A1,vers_lille,36.1,31.1,5.0,42.2
2026-08-31T04:30:50Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,36.4,31.1,5.3,41.4
2026-08-31T04:30:50Z,point,Arras,Artois,autoroute A1,vers_lille,49.9,39.7,10.1,55.1
2026-08-31T04:30:50Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,52.5,43.0,9.4,44.0
2026-08-31T04:30:50Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,66.4,52.0,14.4,80.5
2026-08-31T04:30:50Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,41.8,34.3,7.5,46.8
2026-08-31T04:30:50Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,30.1,26.3,3.8,28.1
2026-08-31T04:30:50Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,39.0,34.5,4.5,51.3
2026-08-31T04:30:50Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,20.6,19.6,0.9,13.9
2026-08-31T04:30:50Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,22.7,20.5,2.2,26.7
2026-08-31T04:30:50Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,64.3,56.0,8.3,87.1
2026-08-31T04:30:50Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,62.0,53.3,8.7,84.0
2026-08-31T04:30:50Z,point,Wavrin,Weppes,départementale,vers_lille,21.5,20.0,1.4,19.3
2026-08-31T04:30:50Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,27.1,25.0,2.2,22.6
2026-08-31T04:30:50Z,point,Herlies,Weppes,départementale,vers_lille,24.1,22.1,1.9,23.2
2026-08-31T04:30:50Z,point,Fromelles,Weppes,départementale,vers_lille,26.6,23.8,2.8,22.1
2026-08-31T04:30:50Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,22.2,20.9,1.3,17.8
2026-08-31T04:30:50Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,25.4,22.9,2.5,23.0
2026-08-31T04:30:50Z,point,Cysoing,Pévèle,départementale,vers_lille,23.0,22.2,0.8,16.1
2026-08-31T04:30:50Z,point,Bourghelles,Pévèle,départementale,vers_lille,24.1,24.0,0.1,23.3
2026-08-31T04:30:50Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,20.9,20.4,0.5,14.7
2026-08-31T04:30:50Z,point,Bouvines,Mélantois,départementale,vers_lille,19.4,18.7,0.6,13.9
2026-08-31T04:30:50Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,22.5,21.1,1.4,20.7
2026-08-31T04:30:50Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,22.2,20.6,1.6,18.3
2026-08-31T04:30:50Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,17.1,16.5,0.6,18.2
2026-08-31T04:30:50Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,30.6,26.4,4.2,28.7
