poll_utc,categorie,libelle,zone_axe,type,sens,temps_live_min,temps_libre_min,retard_min,distance_km
2026-09-09T04:00:26Z,point,Douai,Douaisis,autoroute A1,vers_lille,32.1,31.1,1.0,42.2
2026-09-09T04:00:26Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,32.2,31.1,1.1,41.4
2026-09-09T04:00:26Z,point,Arras,Artois,autoroute A1,vers_lille,41.2,39.7,1.5,55.1
2026-09-09T04:00:26Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,44.5,42.6,1.9,42.2
2026-09-09T04:00:26Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,55.2,52.5,2.7,80.6
2026-09-09T04:00:26Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,36.0,36.0,0.1,48.3
2026-09-09T04:00:26Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,27.1,26.3,0.8,28.1
2026-09-09T04:00:26Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,35.0,34.5,0.4,51.3
2026-09-09T04:00:26Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,19.2,19.1,0.1,15.0
2026-09-09T04:00:26Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,20.4,20.2,0.2,25.7
2026-09-09T04:00:26Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,57.9,56.1,1.8,87.2
2026-09-09T04:00:26Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,54.0,51.2,2.7,75.1
2026-09-09T04:00:26Z,point,Wavrin,Weppes,départementale,vers_lille,20.1,20.0,0.0,19.3
2026-09-09T04:00:26Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,25.0,25.0,0.1,22.6
2026-09-09T04:00:26Z,point,Herlies,Weppes,départementale,vers_lille,22.1,22.1,0.0,23.2
2026-09-09T04:00:26Z,point,Fromelles,Weppes,départementale,vers_lille,24.0,23.8,0.2,22.1
2026-09-09T04:00:26Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,21.2,21.0,0.3,17.7
2026-09-09T04:00:26Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,23.0,22.7,0.3,30.6
2026-09-09T04:00:26Z,point,Cysoing,Pévèle,départementale,vers_lille,22.4,22.2,0.2,16.1
2026-09-09T04:00:26Z,point,Bourghelles,Pévèle,départementale,vers_lille,24.0,24.0,0.0,23.3
2026-09-09T04:00:26Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,20.4,20.4,0.1,14.7
2026-09-09T04:00:26Z,point,Bouvines,Mélantois,départementale,vers_lille,18.8,18.7,0.1,13.9
2026-09-09T04:00:26Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,21.6,21.5,0.1,20.9
2026-09-09T04:00:26Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,20.8,20.6,0.2,18.3
2026-09-09T04:00:26Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,16.6,16.5,0.1,18.2
2026-09-09T04:00:26Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,29.1,29.3,-0.2,30.7
2026-09-09T04:30:28Z,point,Douai,Douaisis,autoroute A1,vers_lille,37.4,31.1,6.3,42.2
2026-09-09T04:30:28Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,37.2,31.1,6.2,41.4
2026-09-09T04:30:28Z,point,Arras,Artois,autoroute A1,vers_lille,49.5,39.7,9.8,55.1
2026-09-09T04:30:28Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,50.1,42.6,7.5,42.2
2026-09-09T04:30:28Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,64.4,52.5,12.0,80.6
2026-09-09T04:30:28Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,42.3,36.0,6.4,48.3
2026-09-09T04:30:28Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,29.2,26.3,2.9,28.1
2026-09-09T04:30:28Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,38.1,34.5,3.6,51.3
2026-09-09T04:30:28Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,19.9,19.1,0.9,15.0
2026-09-09T04:30:28Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,21.8,20.2,1.6,25.7
2026-09-09T04:30:28Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,62.4,56.1,6.3,87.2
2026-09-09T04:30:28Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,58.2,53.3,4.9,84.0
2026-09-09T04:30:28Z,point,Wavrin,Weppes,départementale,vers_lille,21.3,20.0,1.3,19.3
2026-09-09T04:30:28Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,26.8,25.0,1.9,22.6
2026-09-09T04:30:28Z,point,Herlies,Weppes,départementale,vers_lille,23.4,22.1,1.3,23.2
2026-09-09T04:30:28Z,point,Fromelles,Weppes,départementale,vers_lille,25.9,23.8,2.1,22.1
2026-09-09T04:30:28Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,22.1,20.9,1.1,17.8
2026-09-09T04:30:28Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,24.8,22.7,2.1,30.6
2026-09-09T04:30:28Z,point,Cysoing,Pévèle,départementale,vers_lille,23.1,22.2,0.9,16.1
2026-09-09T04:30:28Z,point,Bourghelles,Pévèle,départementale,vers_lille,24.3,24.0,0.3,23.3
2026-09-09T04:30:28Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,20.9,20.4,0.6,14.7
2026-09-09T04:30:28Z,point,Bouvines,Mélantois,départementale,vers_lille,19.3,18.7,0.6,13.9
2026-09-09T04:30:28Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,22.4,21.1,1.3,20.7
2026-09-09T04:30:28Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,22.2,20.6,1.6,18.3
2026-09-09T04:30:28Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,17.0,16.5,0.5,18.2
2026-09-09T04:30:28Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,33.1,29.3,3.8,30.7
2026-09-09T04:50:25Z,point,Douai,Douaisis,autoroute A1,vers_lille,40.2,31.1,9.1,42.2
2026-09-09T04:50:25Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,40.1,31.1,9.1,41.4
2026-09-09T04:50:25Z,point,Arras,Artois,autoroute A1,vers_lille,51.5,39.7,11.8,55.1
2026-09-09T04:50:25Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,53.1,43.0,10.1,44.0
2026-09-09T04:50:25Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,66.4,52.5,13.9,80.6
2026-09-09T04:50:25Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,42.0,36.0,6.0,48.3
2026-09-09T04:50:25Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,31.4,26.3,5.1,28.1
2026-09-09T04:50:25Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,40.5,34.5,6.0,51.3
2026-09-09T04:50:25Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,21.4,19.6,1.7,13.9
2026-09-09T04:50:25Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,23.7,20.2,3.5,25.7
2026-09-09T04:50:25Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,65.3,56.1,9.2,87.2
2026-09-09T04:50:25Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,63.5,53.3,10.2,84.0
2026-09-09T04:50:25Z,point,Wavrin,Weppes,départementale,vers_lille,21.9,20.0,1.9,19.3
2026-09-09T04:50:25Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,27.8,25.0,2.8,22.6
2026-09-09T04:50:25Z,point,Herlies,Weppes,départementale,vers_lille,25.2,22.1,3.0,23.2
2026-09-09T04:50:25Z,point,Fromelles,Weppes,départementale,vers_lille,26.5,23.8,2.7,22.1
2026-09-09T04:50:25Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,23.5,20.9,2.6,17.8
2026-09-09T04:50:25Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,27.0,22.7,4.3,30.6
2026-09-09T04:50:25Z,point,Cysoing,Pévèle,départementale,vers_lille,24.2,22.2,2.0,16.1
2026-09-09T04:50:25Z,point,Bourghelles,Pévèle,départementale,vers_lille,24.8,24.0,0.8,23.3
2026-09-09T04:50:25Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,21.8,20.4,1.4,14.7
2026-09-09T04:50:25Z,point,Bouvines,Mélantois,départementale,vers_lille,20.2,18.7,1.5,13.9
2026-09-09T04:50:25Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,22.9,21.5,1.4,20.9
2026-09-09T04:50:25Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,22.4,20.6,1.8,18.3
2026-09-09T04:50:25Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,17.9,16.5,1.4,18.2
2026-09-09T04:50:25Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,33.9,29.3,4.6,30.7
2026-09-09T04:50:25Z,troncon,Échangeur d'Englos,A25 vers Lille,troncon,vers_lille,10.9,10.2,0.7,7.9
2026-09-09T04:50:25Z,troncon,Rocade ouest (Lomme),M652 vers Lille,troncon,vers_lille,16.4,14.9,1.5,6.2
2026-09-09T04:50:25Z,troncon,Approche A1 (Fretin-Ronchin),A1 vers Lille,troncon,vers_lille,16.4,14.6,1.9,11.8
2026-09-09T04:50:25Z,troncon,Croix - Wasquehal,A22 vers Lille,troncon,vers_lille,12.5,11.5,1.0,8.5
2026-09-09T04:50:25Z,troncon,Haubourdin - Loos,RN41 vers Lille,troncon,vers_lille,21.2,20.1,1.1,14.4
2026-09-09T05:00:27Z,point,Douai,Douaisis,autoroute A1,vers_lille,42.0,31.1,10.9,42.2
2026-09-09T05:00:27Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,42.4,31.1,11.3,41.4
2026-09-09T05:00:27Z,point,Arras,Artois,autoroute A1,vers_lille,51.7,39.7,12.0,55.1
2026-09-09T05:00:27Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,59.2,43.0,16.2,44.0
2026-09-09T05:00:27Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,67.1,52.5,14.6,80.6
2026-09-09T05:00:27Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,45.1,36.0,9.2,48.3
2026-09-09T05:00:27Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,36.1,26.3,9.8,28.1
2026-09-09T05:00:27Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,42.4,34.5,7.9,51.3
2026-09-09T05:00:27Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,21.9,19.6,2.3,13.9
2026-09-09T05:00:27Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,25.0,20.2,4.9,25.7
2026-09-09T05:00:27Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,66.6,57.4,9.2,87.3
2026-09-09T05:00:27Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,65.4,53.3,12.1,84.0
2026-09-09T05:00:27Z,point,Wavrin,Weppes,départementale,vers_lille,24.3,20.0,4.3,19.3
2026-09-09T05:00:27Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,30.6,25.0,5.7,22.6
2026-09-09T05:00:27Z,point,Herlies,Weppes,départementale,vers_lille,29.0,22.1,6.9,23.2
2026-09-09T05:00:27Z,point,Fromelles,Weppes,départementale,vers_lille,28.9,23.8,5.1,22.1
2026-09-09T05:00:27Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,24.1,20.9,3.2,17.8
2026-09-09T05:00:27Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,28.1,22.7,5.4,30.6
2026-09-09T05:00:27Z,point,Cysoing,Pévèle,départementale,vers_lille,25.0,22.2,2.8,16.1
2026-09-09T05:00:27Z,point,Bourghelles,Pévèle,départementale,vers_lille,25.2,24.0,1.2,23.3
2026-09-09T05:00:27Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,22.4,20.4,2.0,14.7
2026-09-09T05:00:27Z,point,Bouvines,Mélantois,départementale,vers_lille,20.9,18.7,2.1,13.9
2026-09-09T05:00:27Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,24.3,21.5,2.8,20.9
2026-09-09T05:00:27Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,23.8,20.6,3.1,18.3
2026-09-09T05:00:27Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,18.0,16.5,1.5,18.2
2026-09-09T05:00:27Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,36.6,29.3,7.3,30.7
2026-09-09T05:00:27Z,troncon,Échangeur d'Englos,A25 vers Lille,troncon,vers_lille,11.4,10.2,1.2,7.9
2026-09-09T05:00:27Z,troncon,Rocade ouest (Lomme),M652 vers Lille,troncon,vers_lille,16.9,14.9,2.0,6.2
2026-09-09T05:00:27Z,troncon,Approche A1 (Fretin-Ronchin),A1 vers Lille,troncon,vers_lille,16.9,14.6,2.3,11.8
2026-09-09T05:00:27Z,troncon,Croix - Wasquehal,A22 vers Lille,troncon,vers_lille,12.9,11.5,1.4,8.5
2026-09-09T05:00:27Z,troncon,Haubourdin - Loos,RN41 vers Lille,troncon,vers_lille,22.0,19.7,2.2,7.9
2026-09-09T05:10:27Z,point,Douai,Douaisis,autoroute A1,vers_lille,43.4,31.1,12.2,42.2
2026-09-09T05:10:27Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,43.2,31.1,12.2,41.4
2026-09-09T05:10:27Z,point,Arras,Artois,autoroute A1,vers_lille,54.0,39.0,14.9,54.1
2026-09-09T05:10:27Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,60.5,42.4,18.1,44.5
2026-09-09T05:10:27Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,66.7,52.5,14.2,80.6
2026-09-09T05:10:27Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,46.5,36.0,10.6,48.3
2026-09-09T05:10:27Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,35.9,26.3,9.6,28.1
2026-09-09T05:10:27Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,42.9,34.5,8.4,51.3
2026-09-09T05:10:27Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,22.4,19.6,2.8,13.9
2026-09-09T05:10:27Z,point,Orchies,Pévèle,autoroute A23 / A27,vers_lille,27.2,20.2,7.0,25.7
2026-09-09T05:10:27Z,point,Maubeuge,Avesnois,autoroute A2 / A23,vers_lille,66.9,56.1,10.8,87.2
2026-09-09T05:10:27Z,point,Cambrai,Cambrésis,autoroute A2 / A23,vers_lille,65.8,53.3,12.5,84.0
2026-09-09T05:10:27Z,point,Wavrin,Weppes,départementale,vers_lille,25.7,20.0,5.6,19.3
2026-09-09T05:10:27Z,point,Sainghin-en-Weppes,Weppes,départementale,vers_lille,31.9,25.0,7.0,22.6
2026-09-09T05:10:27Z,point,Herlies,Weppes,départementale,vers_lille,29.9,22.1,7.8,23.2
2026-09-09T05:10:27Z,point,Fromelles,Weppes,départementale,vers_lille,29.4,24.9,4.5,21.8
2026-09-09T05:10:27Z,point,Templeuve-en-Pévèle,Pévèle,départementale,vers_lille,24.4,20.9,3.4,17.8
2026-09-09T05:10:27Z,point,Cappelle-en-Pévèle,Pévèle,départementale,vers_lille,29.6,25.4,4.2,21.4
2026-09-09T05:10:27Z,point,Cysoing,Pévèle,départementale,vers_lille,25.6,22.2,3.4,16.1
2026-09-09T05:10:27Z,point,Bourghelles,Pévèle,départementale,vers_lille,25.2,24.0,1.2,23.3
2026-09-09T05:10:27Z,point,Péronne-en-Mélantois,Mélantois,départementale,vers_lille,22.7,20.4,2.3,14.7
2026-09-09T05:10:27Z,point,Bouvines,Mélantois,départementale,vers_lille,21.2,18.7,2.5,13.9
2026-09-09T05:10:27Z,point,Pérenchies,rocade NO / M652,départementale,vers_lille,24.1,21.5,2.6,20.9
2026-09-09T05:10:27Z,point,Prémesques,rocade NO / M652,départementale,vers_lille,23.6,20.6,2.9,18.3
2026-09-09T05:10:27Z,point,Neuville-en-Ferrain,Ferrain,départementale,vers_lille,18.6,16.5,2.1,18.2
2026-09-09T05:10:27Z,point,Sailly-sur-la-Lys,Lys,départementale,vers_lille,39.9,29.3,10.6,30.7
2026-09-09T05:10:27Z,troncon,Échangeur d'Englos,A25 vers Lille,troncon,vers_lille,11.7,10.2,1.5,7.9
2026-09-09T05:10:27Z,troncon,Rocade ouest (Lomme),M652 vers Lille,troncon,vers_lille,17.3,14.9,2.3,6.2
2026-09-09T05:10:27Z,troncon,Approche A1 (Fretin-Ronchin),A1 vers Lille,troncon,vers_lille,16.9,14.6,2.4,11.8
2026-09-09T05:10:27Z,troncon,Croix - Wasquehal,A22 vers Lille,troncon,vers_lille,13.2,11.5,1.7,8.5
2026-09-09T05:10:27Z,troncon,Haubourdin - Loos,RN41 vers Lille,troncon,vers_lille,21.9,19.4,2.6,7.2
2026-09-09T05:20:26Z,point,Douai,Douaisis,autoroute A1,vers_lille,44.3,31.1,13.2,42.2
2026-09-09T05:20:26Z,point,Lens,Gohelle,autoroute A21 / A1,vers_lille,44.8,31.1,13.7,41.4
2026-09-09T05:20:26Z,point,Arras,Artois,autoroute A1,vers_lille,55.0,39.0,15.9,54.1
2026-09-09T05:20:26Z,point,Béthune,Béthunois,autoroute A26 / A25,vers_lille,61.1,42.4,18.7,44.5
2026-09-09T05:20:26Z,point,Dunkerque,Flandre maritime,autoroute A25,vers_lille,69.7,52.5,17.2,80.6
2026-09-09T05:20:26Z,point,Hazebrouck,Flandre intérieure,autoroute A25,vers_lille,50.0,36.0,14.0,48.3
2026-09-09T05:20:26Z,point,La Bassée,Weppes,autoroute RN41,vers_lille,37.6,26.3,11.3,28.1
2026-09-09T05:20:26Z,point,Valenciennes,Valenciennois,autoroute A23,vers_lille,46.8,34.5,12.3,51.3
2026-09-09T05:20:26Z,point,Tourcoing,Ferrain,autoroute A22,vers_lille,23.2,19.6,3.6,13.9
