poll_utc,feed_time,code_pme,route,vitesse_kmh,debit_vh
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001011200,A1,86.0,380
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0027010102,A27,,340
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,N0041010100,N41,86.0,60
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0027010101,A27,,340
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A9022010250,A22 (rocade),98.0,20
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001020150,A1,106.0,620
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,N0356011700,N356,77.0,360
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,N0356021300,N356,68.0,500
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0022011400,A22,78.0,60
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0027010300,A27,96.0,130
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A9022020250,A22 (rocade),67.0,80
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,N0041010300,N41,,130
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0022011210,A22,,30
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0027020100,A27,67.0,110
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001010300,A1,121.0,360
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0022011220,A22,,30
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A9022101110,A22 (rocade),77.0,140
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0022022110,A22,98.0,490
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001011420,A1,92.0,200
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,N0356010800,N356,73.0,400
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A9001210710,A1 (bretelle),70.0,120
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,N0356021110,N356,76.0,490
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001010510,A1,121.0,420
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,N0356021122,N356,69.0,480
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,N0356021121,N356,76.0,490
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025010210,A25,77.0,450
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025011300,A25,,90
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001020300,A1,106.0,620
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025021100,A25,,220
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025023520,A25,112.0,160
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0022022130,A22,90.0,470
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025010220,A25,77.0,450
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0022022120,A22,98.0,500
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001010520,A1,103.0,440
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0022011000,A22,,190
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001020510,A1,106.0,620
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001021602,A1,86.0,720
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A22TC020222,A22 (contournement),,210
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001010940,A1,103.0,440
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025023320,A25,116.0,180
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001020520,A1,102.0,620
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025023100,A25,,120
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A22TC020230,A22 (contournement),,210
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025021730,A25,90.0,270
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025023910,A25,111.0,150
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025021735,A25,101.0,290
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0023010400,A23,98.0,110
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0022021900,A22,87.0,410
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A9022100500,A22 (rocade),83.0,230
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001020940,A1,90.0,610
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001020700,A1,100.0,530
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A9022020830,A22 (rocade),80.0,40
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A9022020822,A22 (rocade),,800
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A9022020821,A22 (rocade),,800
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025020420,A25,74.0,370
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025021510,A25,93.0,150
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,N0227010100,N227,71.0,120
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025011720,A25,100.0,210
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0001010920,A1,102.0,370
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025021760,A25,88.0,310
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025011730,A25,92.0,220
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025011735,A25,104.0,220
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A9025080700,A25 (bretelle),,70
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A9022100930,A22 (rocade),70.0,20
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,N0356011220,N356,75.0,410
2026-08-30T03:40:50Z,2026-08-30T05:30:00.000+02:00,A0025011740,A25,87.0,230
